36.023800, 1250000, m, master
36.273000, 1250000, m, slave
3022.968100, 12500000, m, master
3022.403000, 12500000, m, slave
0.432100, 6250, m, slave
0.420100, 6250, m, master
2916.750400, 6250000, m, master
2917.074100, 6250000, m, slave
5001.393000, 16916480, m, master
5000.503500, 16916480, m, slave
29.016400, 125000, m, slave
29.284600, 125000, m, master
21.043000, 625000, m, master
20.657500, 625000, m, slave
0.109800, 125, m, master
0.114900, 125, m, slave
0.498200, 12500, m, slave
0.637000, 12500, m, master
0.031100, 625, m, master
0.214400, 625, m, slave
0.103500, 1250, m, master
0.059900, 1250, m, slave
1.265200, 62500, m, master
1.473100, 62500, m, slave
