38.456200, 1250000, m, slave
38.809600, 1250000, m, master
4911.794000, 12500000, m, master
4910.401100, 12500000, m, slave
0.187400, 6250, m, master
0.184200, 6250, m, slave
2008.748200, 6250000, m, master
2007.926900, 6250000, m, slave
4040.636200, 16916480, m, master
4040.630400, 16908272, m, slave
5.685800, 125000, m, slave
5.663300, 125000, m, master
941.499400, 625000, m, slave
942.115100, 625000, m, master
0.092100, 125, m, master
0.119200, 125, m, slave
0.113300, 12500, m, master
0.413700, 12500, m, slave
0.181600, 625, m, slave
0.203900, 625, m, master
0.164600, 1250, m, slave
0.196400, 1250, m, master
1.647200, 62500, m, slave
1.726300, 62500, m, master
