13.329100, 1250000, m, master
18.845300, 1250000, m, slave
1952.937500, 12500000, m, master
1959.535200, 12500000, m, slave
0.690300, 6250, m, master
0.834800, 6250, m, slave
982.753600, 6250000, m, master
990.370300, 6250000, m, slave
8969.324200, 62500000, m, master
8976.383100, 62500000, m, slave
5.465400, 125000, m, master
6.613700, 125000, m, slave
11.727800, 625000, m, master
914.991900, 625000, m, slave
0.030600, 125, m, master
0.218000, 125, m, slave
0.108200, 12500, m, master
0.229800, 12500, m, slave
16082.358700, 125000000, m, master
16088.610400, 125000000, m, slave
0.113000, 625, m, master
1.565300, 625, m, slave
0.049000, 1250, m, master
0.151700, 1250, m, slave
1.958300, 62500, m, slave
1.983600, 62500, m, master
15016.549400, 625000000, m, master
15019.090700, 88129088, m, slave
